tdate,id,open,high,close,low,volume,amount,utime
2014-12-31,601888,51.40,53.67,52.98,50.84,4150939.00,182092096.00,2018-04-05 10:53:29
2014-12-30,601888,50.88,51.79,51.37,50.71,4506505.00,193548096.00,2018-04-05 10:53:29
2014-12-29,601888,52.38,53.62,51.30,50.77,6915910.00,301634912.00,2018-04-05 10:53:29
2014-12-26,601888,51.66,52.74,52.51,50.71,5410408.00,234274400.00,2018-04-05 10:53:29
2014-12-25,601888,50.89,51.79,51.66,50.30,4318916.00,184695808.00,2018-04-05 10:53:29
2014-12-24,601888,54.75,54.75,50.81,50.57,8252949.00,359625600.00,2018-04-05 10:53:29
2014-12-23,601888,52.62,55.09,54.26,52.36,11379340.00,518401632.00,2018-04-05 10:53:29
2014-12-22,601888,51.83,55.82,52.36,51.67,8474352.00,381995840.00,2018-04-05 10:53:29
2014-12-19,601888,51.27,52.16,51.64,50.33,8323048.00,356420928.00,2018-04-05 10:53:29
2014-12-18,601888,49.84,51.76,51.04,49.84,6959008.00,298124480.00,2018-04-05 10:53:29
2014-12-17,601888,48.92,49.83,49.73,48.45,4784489.00,197364336.00,2018-04-05 10:53:29
2014-12-16,601888,50.30,50.40,49.16,48.27,6761320.00,277984736.00,2018-04-05 10:53:29
2014-12-15,601888,49.73,50.93,50.26,49.70,4193479.00,177337552.00,2018-04-05 10:53:29
2014-12-12,601888,50.55,50.57,49.73,49.29,5276254.00,221757328.00,2018-04-05 10:53:29
2014-12-11,601888,51.88,51.88,50.12,50.09,6912077.00,293733280.00,2018-04-05 10:53:29
2014-12-10,601888,48.88,52.26,52.07,47.73,9276664.00,387856480.00,2018-04-05 10:53:29
2014-12-09,601888,48.79,49.95,48.85,47.98,9282179.00,380075680.00,2018-04-05 10:53:29
2014-12-08,601888,48.80,49.88,49.03,47.86,7572374.00,309753824.00,2018-04-05 10:53:29
2014-12-05,601888,49.76,50.12,48.88,47.85,8067221.00,328714464.00,2018-04-05 10:53:29
2014-12-04,601888,50.00,50.95,49.58,48.92,8214766.00,345848160.00,2018-04-05 10:53:29
2014-12-03,601888,49.96,50.21,50.00,48.54,8506213.00,352830656.00,2018-04-05 10:53:29
2014-12-02,601888,48.39,49.99,49.75,48.16,8577247.00,351440704.00,2018-04-05 10:53:29
2014-12-01,601888,50.34,50.34,48.35,47.60,8985502.00,364937088.00,2018-04-05 10:53:29
2014-11-28,601888,51.73,51.73,50.19,49.52,11387139.00,478895360.00,2018-04-05 10:53:29
2014-11-27,601888,50.65,52.50,51.88,49.78,7819605.00,336939872.00,2018-04-05 10:53:29
2014-11-26,601888,50.12,52.42,50.65,50.12,11608446.00,497780128.00,2018-04-05 10:53:29
2014-11-25,601888,47.62,50.69,50.47,47.22,7846622.00,327079392.00,2018-04-05 10:53:29
2014-11-24,601888,48.30,48.45,47.73,47.15,9723170.00,390772064.00,2018-04-05 10:53:29
2014-11-21,601888,46.99,48.05,48.00,46.89,8981061.00,358851072.00,2018-04-05 10:53:29
2014-11-20,601888,47.12,47.60,46.86,46.20,5865036.00,230142512.00,2018-04-05 10:53:29
2014-11-19,601888,46.54,47.85,47.13,46.38,6343340.00,250979792.00,2018-04-05 10:53:29
2014-11-18,601888,45.94,48.39,46.89,45.94,11133479.00,440680160.00,2018-04-05 10:53:29
