tdate,id,open,high,close,low,volume,amount,utime
2016-12-30,002005,4.37,4.38,4.36,4.35,5261447.00,30277766.00,2018-04-05 10:53:29
2016-12-29,002005,4.38,4.41,4.36,4.32,6081357.00,35066491.00,2018-04-05 10:53:29
2016-12-28,002005,4.41,4.41,4.37,4.35,5602883.00,32333803.00,2018-04-05 10:53:29
2016-12-27,002005,4.38,4.41,4.39,4.36,5923900.00,34280670.00,2018-04-05 10:53:29
2016-12-26,002005,4.36,4.38,4.38,4.31,7893402.00,45232933.00,2018-04-05 10:53:29
2016-12-23,002005,4.44,4.45,4.38,4.35,8035019.00,46637669.00,2018-04-05 10:53:29
2016-12-22,002005,4.44,4.44,4.44,4.40,7777416.00,45368268.00,2018-04-05 10:53:29
2016-12-21,002005,4.38,4.45,4.44,4.38,10988492.00,64061995.00,2018-04-05 10:53:29
2016-12-20,002005,4.38,4.39,4.39,4.34,7712145.00,44423451.00,2018-04-05 10:53:29
2016-12-19,002005,4.37,4.38,4.37,4.34,8877556.00,51093303.00,2018-04-05 10:53:29
2016-12-16,002005,4.35,4.38,4.38,4.32,10515802.00,60427884.00,2018-04-05 10:53:29
2016-12-15,002005,4.32,4.38,4.35,4.31,9719891.00,55735054.00,2018-04-05 10:53:29
2016-12-14,002005,4.37,4.38,4.32,4.30,9019160.00,51570692.00,2018-04-05 10:53:29
2016-12-13,002005,4.36,4.40,4.37,4.29,13533942.00,77375809.00,2018-04-05 10:53:29
2016-12-12,002005,4.59,4.63,4.38,4.38,19200780.00,113602462.00,2018-04-05 10:53:29
2016-12-09,002005,4.56,4.60,4.56,4.53,18532754.00,111653924.00,2018-04-05 10:53:29
2016-12-08,002005,4.56,4.70,4.60,4.56,40083355.00,245179899.00,2018-04-05 10:53:29
2016-12-07,002005,4.48,4.50,4.50,4.44,16784791.00,99120907.00,2018-04-05 10:53:29
2016-12-06,002005,4.50,4.52,4.48,4.48,10584250.00,62767997.00,2018-04-05 10:53:29
2016-12-05,002005,4.54,4.58,4.50,4.47,19023040.00,113485815.00,2018-04-05 10:53:29
2016-12-02,002005,4.70,4.70,4.60,4.58,18337548.00,111935595.00,2018-04-05 10:53:29
2016-12-01,002005,4.66,4.69,4.69,4.66,12403327.00,76450990.00,2018-04-05 10:53:29
