tdate,id,open,high,close,low,volume,amount,utime
2016-03-31,600157,3.04,3.07,3.02,2.98,36962819.00,144683080.00,2018-04-05 10:53:29
2016-03-30,600157,2.97,3.04,3.03,2.97,27954419.00,108939594.00,2018-04-05 10:53:29
2016-03-29,600157,3.00,3.00,2.97,2.94,25788718.00,98819502.00,2018-04-05 10:53:29
2016-03-28,600157,3.02,3.04,2.99,2.97,31123955.00,121181870.00,2018-04-05 10:53:29
2016-03-25,600157,3.00,3.03,3.01,2.98,20654384.00,80329699.00,2018-04-05 10:53:29
2016-03-24,600157,3.07,3.07,3.01,3.00,37997356.00,148847875.00,2018-04-05 10:53:29
2016-03-23,600157,3.09,3.13,3.08,3.03,40466226.00,161179381.00,2018-04-05 10:53:29
2016-03-22,600157,3.09,3.11,3.08,3.07,36508727.00,145964478.00,2018-04-05 10:53:29
2016-03-21,600157,3.09,3.12,3.11,3.05,61251623.00,244896349.00,2018-04-05 10:53:29
2016-03-18,600157,3.00,3.09,3.05,2.98,48468937.00,191061800.00,2018-04-05 10:53:29
2016-03-17,600157,2.97,3.00,2.98,2.94,28109916.00,108201471.00,2018-04-05 10:53:29
2016-03-16,600157,2.98,2.99,2.94,2.94,15663461.00,59891546.00,2018-04-05 10:53:29
2016-03-15,600157,3.03,3.03,2.97,2.94,26322167.00,100926630.00,2018-04-05 10:53:29
2016-03-14,600157,2.97,3.05,3.01,2.97,26338495.00,102858656.00,2018-04-05 10:53:29
2016-03-11,600157,2.94,2.97,2.94,2.90,17625254.00,66952345.00,2018-04-05 10:53:29
2016-03-10,600157,2.98,3.01,2.94,2.94,22010238.00,84771156.00,2018-04-05 10:53:29
2016-03-09,600157,2.99,3.03,2.97,2.94,36020838.00,139418923.00,2018-04-05 10:53:29
2016-03-08,600157,3.19,3.21,3.10,3.02,56273871.00,224992679.00,2018-04-05 10:53:29
2016-03-07,600157,3.10,3.16,3.14,3.07,77930051.00,314661083.00,2018-04-05 10:53:29
2016-03-04,600157,3.01,3.13,3.07,2.92,92496027.00,365110405.00,2018-04-05 10:53:29
2016-03-03,600157,3.04,3.11,3.02,3.01,58510188.00,231277508.00,2018-04-05 10:53:29
2016-03-02,600157,2.86,3.03,3.01,2.84,61140012.00,234245419.00,2018-04-05 10:53:29
2016-03-01,600157,2.82,2.95,2.87,2.77,44820030.00,166258754.00,2018-04-05 10:53:29
2016-02-29,600157,2.87,2.96,2.80,2.74,56254336.00,205651296.00,2018-04-05 10:53:29
2016-02-26,600157,2.90,2.98,2.97,2.80,47221456.00,178026769.00,2018-04-05 10:53:29
2016-02-25,600157,3.10,3.14,2.87,2.82,50131575.00,193569244.00,2018-04-05 10:53:29
2016-02-24,600157,3.09,3.14,3.13,3.06,38645638.00,155395502.00,2018-04-05 10:53:29
2016-02-23,600157,3.15,3.15,3.10,3.05,45687304.00,182802735.00,2018-04-05 10:53:29
2016-02-22,600157,3.06,3.28,3.15,3.06,71334004.00,291343411.00,2018-04-05 10:53:29
2016-02-19,600157,3.02,3.05,3.03,2.97,22835908.00,89304067.00,2018-04-05 10:53:29
2016-02-18,600157,3.01,3.14,3.02,3.01,42726340.00,169529073.00,2018-04-05 10:53:29
2016-02-17,600157,2.99,3.04,3.01,2.97,34138421.00,132893797.00,2018-04-05 10:53:29
2016-02-16,600157,2.92,3.03,3.00,2.92,39688049.00,153424908.00,2018-04-05 10:53:29
2016-02-15,600157,2.79,2.97,2.94,2.78,28139235.00,105601647.00,2018-04-05 10:53:29
2016-02-05,600157,2.88,2.91,2.90,2.87,34048111.00,127585177.00,2018-04-05 10:53:29
2016-02-04,600157,2.86,2.89,2.87,2.83,28887697.00,107346862.00,2018-04-05 10:53:29
2016-02-03,600157,2.81,2.85,2.83,2.78,20226185.00,73537589.00,2018-04-05 10:53:29
2016-02-02,600157,2.83,2.87,2.86,2.79,23483348.00,86469815.00,2018-04-05 10:53:29
2016-02-01,600157,2.91,2.91,2.80,2.75,26722085.00,98036605.00,2018-04-05 10:53:29
2016-01-29,600157,2.70,2.84,2.83,2.70,32153762.00,115917205.00,2018-04-05 10:53:29
2016-01-28,600157,2.82,2.90,2.72,2.70,37371316.00,136192143.00,2018-04-05 10:53:29
2016-01-27,600157,2.93,2.95,2.81,2.66,52740333.00,192396403.00,2018-04-05 10:53:29
2016-01-26,600157,3.12,3.15,2.88,2.87,54688450.00,214232536.00,2018-04-05 10:53:29
2016-01-25,600157,3.18,3.25,3.19,3.13,58665863.00,243254726.00,2018-04-05 10:53:29
2016-01-22,600157,3.13,3.18,3.12,3.08,30816037.00,124925008.00,2018-04-05 10:53:29
2016-01-21,600157,3.13,3.19,3.07,3.05,35782035.00,145288618.00,2018-04-05 10:53:29
2016-01-20,600157,3.23,3.23,3.14,3.10,36480083.00,150001447.00,2018-04-05 10:53:29
2016-01-19,600157,3.17,3.21,3.21,3.10,39075698.00,160623133.00,2018-04-05 10:53:29
2016-01-18,600157,3.03,3.16,3.13,2.94,50711581.00,202255288.00,2018-04-05 10:53:29
2016-01-15,600157,3.17,3.22,3.08,3.05,44414636.00,180068223.00,2018-04-05 10:53:29
2016-01-14,600157,3.09,3.31,3.24,3.00,59015751.00,240416500.00,2018-04-05 10:53:29
2016-01-13,600157,3.24,3.35,3.15,3.13,61549175.00,258495605.00,2018-04-05 10:53:29
2016-01-12,600157,3.25,3.30,3.21,3.11,66886355.00,277409402.00,2018-04-05 10:53:29
2016-01-11,600157,3.48,3.58,3.27,3.27,159522746.00,698033519.00,2018-04-05 10:53:29
2016-01-08,600157,3.44,3.70,3.64,3.23,186809907.00,872125518.00,2018-04-05 10:53:29
2016-01-07,600157,3.66,3.68,3.36,3.36,33409428.00,150628804.00,2018-04-05 10:53:29
2016-01-06,600157,3.40,3.73,3.73,3.37,116850155.00,548066754.00,2018-04-05 10:53:29
2016-01-05,600157,3.27,3.49,3.39,3.17,63303476.00,274922903.00,2018-04-05 10:53:29
2016-01-04,600157,3.68,3.68,3.32,3.32,43017190.00,197056442.00,2018-04-05 10:53:29
