tdate,id,open,high,close,low,volume,amount,utime
2018-09-28,S002241,7.32,7.40,7.34,7.24,11841111.00,98158124.00,2018-11-02 10:24:58
2018-09-27,S002241,7.53,7.61,7.30,7.28,20965400.00,176211697.00,2018-11-02 10:24:58
2018-09-26,S002241,7.49,7.62,7.56,7.40,23030305.00,195840990.00,2018-11-02 10:24:58
2018-09-25,S002241,7.46,7.57,7.49,7.42,11899040.00,100713930.00,2018-11-02 10:24:58
2018-09-21,S002241,7.38,7.54,7.54,7.29,18692893.00,157374718.00,2018-11-02 10:24:58
2018-09-20,S002241,7.41,7.53,7.36,7.33,13130165.00,110016621.00,2018-11-02 10:24:58
2018-09-19,S002241,7.38,7.51,7.40,7.29,18005555.00,150598019.00,2018-11-02 10:24:58
2018-09-18,S002241,7.23,7.41,7.38,7.19,17340232.00,143095730.00,2018-11-02 10:24:58
2018-09-17,S002241,7.45,7.45,7.26,7.25,15273213.00,126250513.00,2018-11-02 10:24:58
2018-09-14,S002241,7.57,7.63,7.51,7.45,17082601.00,145162237.00,2018-11-02 10:24:58
2018-09-13,S002241,7.67,7.73,7.53,7.46,19483522.00,167195225.00,2018-11-02 10:24:58
2018-09-12,S002241,7.48,7.63,7.51,7.37,17918931.00,151897827.00,2018-11-02 10:24:58
2018-09-11,S002241,7.24,7.61,7.50,7.19,30412282.00,254547974.00,2018-11-02 10:24:58
2018-09-10,S002241,7.52,7.58,7.26,7.24,27762218.00,230885177.00,2018-11-02 10:24:58
2018-09-07,S002241,7.70,7.84,7.59,7.45,27608518.00,238003612.00,2018-11-02 10:24:58
2018-09-06,S002241,7.76,7.88,7.69,7.67,16837239.00,147566647.00,2018-11-02 10:24:58
2018-09-05,S002241,7.85,7.99,7.79,7.79,18564174.00,165997431.00,2018-11-02 10:24:58
2018-09-04,S002241,7.90,7.96,7.86,7.76,21565640.00,192049487.00,2018-11-02 10:24:58
2018-09-03,S002241,7.86,7.91,7.90,7.76,16173823.00,143323007.00,2018-11-02 10:24:58
