tdate,id,open,high,close,low,volume,amount,utime
2015-12-31,002176,10.64,11.04,10.60,10.56,78539976.00,1409701760.00,2018-04-05 10:53:29
2015-12-30,002176,10.84,10.89,10.65,10.50,72591648.00,1283958528.00,2018-04-05 10:53:29
2015-12-29,002176,10.24,10.96,10.83,10.24,111877264.00,1977983872.00,2018-04-05 10:53:29
2015-12-28,002176,10.71,10.86,10.23,10.12,105950288.00,1837876096.00,2018-04-05 10:53:29
2015-12-25,002176,10.88,11.05,10.78,10.72,76661360.00,1384195200.00,2018-04-05 10:53:29
2015-12-24,002176,10.77,11.18,10.88,10.74,87331664.00,1588675072.00,2018-04-05 10:53:29
2015-12-23,002176,11.44,11.44,10.83,10.73,144620352.00,2650699008.00,2018-04-05 10:53:29
2015-12-22,002176,11.28,11.61,11.38,11.20,144990512.00,2743227136.00,2018-04-05 10:53:29
2015-12-21,002176,11.58,11.74,11.32,11.15,213844112.00,4058056192.00,2018-04-05 10:53:29
2015-12-18,002176,10.84,12.07,11.91,10.79,303163872.00,5814461952.00,2018-04-05 10:53:29
2015-12-17,002176,10.84,11.41,10.97,10.71,291709472.00,5326900736.00,2018-04-05 10:53:29
2015-12-16,002176,10.51,11.05,10.90,10.31,317890880.00,5671493632.00,2018-04-05 10:53:29
2015-12-15,002176,9.23,10.05,10.05,9.16,103719960.00,1664322176.00,2018-04-05 10:53:29
2015-12-14,002176,9.03,9.18,9.13,8.80,80004960.00,1191580928.00,2018-04-05 10:53:29
2015-12-11,002176,9.64,9.84,9.31,9.29,109889536.00,1753361920.00,2018-04-05 10:53:29
2015-12-10,002176,9.74,9.96,9.94,9.49,209145344.00,3387290624.00,2018-04-05 10:53:29
2015-12-09,002176,8.81,9.74,9.74,8.75,208647552.00,3305648128.00,2018-04-05 10:53:29
2015-12-08,002176,9.09,9.09,8.86,8.70,64690648.00,952364096.00,2018-04-05 10:53:29
2015-12-07,002176,8.96,9.31,9.13,8.86,85312384.00,1291562240.00,2018-04-05 10:53:29
2015-12-04,002176,8.95,9.02,8.78,8.73,54503304.00,801843648.00,2018-04-05 10:53:29
2015-12-03,002176,8.93,9.20,9.05,8.84,64604948.00,967995520.00,2018-04-05 10:53:29
2015-12-02,002176,8.67,9.03,8.87,8.43,78497088.00,1151641984.00,2018-04-05 10:53:29
2015-12-01,002176,8.85,8.94,8.64,8.37,72555704.00,1052367616.00,2018-04-05 10:53:29
2015-11-30,002176,8.78,9.21,9.04,7.97,108655368.00,1564113536.00,2018-04-05 10:53:29
2015-11-27,002176,9.52,9.57,8.81,8.81,124598080.00,1906170240.00,2018-04-05 10:53:29
2015-11-26,002176,10.75,10.83,9.79,9.77,172265248.00,2936449280.00,2018-04-05 10:53:29
2015-11-25,002176,10.17,10.39,10.39,9.97,125332448.00,2118505472.00,2018-04-05 10:53:29
2015-11-24,002176,10.24,10.34,10.17,9.88,124605856.00,2086685696.00,2018-04-05 10:53:29
2015-11-23,002176,9.46,10.40,10.17,9.40,195007616.00,3244523264.00,2018-04-05 10:53:29
2015-11-20,002176,9.60,10.15,9.65,9.21,177225488.00,2850163200.00,2018-04-05 10:53:29
2015-11-19,002176,9.18,9.85,9.69,9.09,153738080.00,2419689728.00,2018-04-05 10:53:29
2015-11-18,002176,9.77,9.82,9.12,8.98,143640848.00,2242653952.00,2018-04-05 10:53:29
2015-11-17,002176,10.24,10.45,9.76,9.64,211151056.00,3553841408.00,2018-04-05 10:53:29
2015-11-16,002176,9.82,10.59,10.30,9.68,212438816.00,3537335552.00,2018-04-05 10:53:29
2015-11-13,002176,9.58,10.20,9.94,9.32,254949248.00,4137015552.00,2018-04-05 10:53:29
2015-11-12,002176,9.27,9.27,9.27,9.27,81227160.00,1250086016.00,2018-04-05 10:53:29
2015-11-11,002176,8.43,8.43,8.43,8.43,23373032.00,326988736.00,2018-04-05 10:53:29
2015-11-10,002176,7.66,7.66,7.66,7.66,5607139.00,71322808.00,2018-04-05 10:53:29
