tdate,id,open,high,close,low,volume,amount,utime
2018-06-29,S000552,3.11,3.17,3.16,3.07,6453532.00,20963899.00,2018-07-05 05:00:59
2018-06-28,S000552,3.13,3.17,3.13,3.10,5715596.00,18589196.00,2018-07-05 05:00:59
2018-06-27,S000552,3.15,3.18,3.13,3.11,5782421.00,18833689.00,2018-07-05 05:00:59
2018-06-26,S000552,3.15,3.18,3.15,3.10,7506469.00,24429756.00,2018-07-05 05:00:59
2018-06-25,S000552,3.21,3.25,3.19,3.17,8354162.00,27697558.00,2018-07-05 05:00:59
2018-06-22,S000552,3.14,3.22,3.21,3.05,8894365.00,29215991.00,2018-07-05 05:00:59
2018-06-21,S000552,3.18,3.28,3.18,3.10,18203275.00,60689838.00,2018-07-05 05:00:59
2018-06-20,S000552,3.02,3.23,3.18,3.02,13867076.00,44892651.00,2018-07-05 05:00:59
2018-06-19,S000552,3.25,3.28,3.04,2.97,15664935.00,51084194.00,2018-07-05 05:00:59
2018-06-15,S000552,3.22,3.29,3.28,3.21,18157068.00,61229558.00,2018-07-05 05:00:59
2018-06-14,S000552,3.20,3.24,3.22,3.18,6992064.00,23160123.00,2018-07-05 05:00:59
2018-06-13,S000552,3.23,3.24,3.19,3.19,5254643.00,17451624.00,2018-07-05 05:00:59
2018-06-12,S000552,3.20,3.24,3.24,3.19,6440197.00,21439101.00,2018-07-05 05:00:59
2018-06-11,S000552,3.15,3.21,3.20,3.13,8321697.00,27430546.00,2018-07-05 05:00:59
2018-06-08,S000552,3.22,3.22,3.16,3.13,8972770.00,29406023.00,2018-07-05 05:00:59
2018-06-07,S000552,3.23,3.26,3.23,3.20,6640815.00,22199938.00,2018-07-05 05:00:59
2018-06-06,S000552,3.21,3.24,3.23,3.21,5506100.00,18369768.00,2018-07-05 05:00:59
2018-06-05,S000552,3.21,3.22,3.21,3.19,8017801.00,26605212.00,2018-07-05 05:00:59
2018-06-04,S000552,3.19,3.21,3.20,3.16,7879400.00,26005462.00,2018-07-05 05:00:59
2018-06-01,S000552,3.15,3.22,3.17,3.15,9819676.00,32372737.00,2018-07-05 05:00:59
