tdate,id,open,high,close,low,volume,amount,utime
2018-06-26,S601163,12.91,13.26,13.26,12.80,1743866.00,22845954.00,2018-06-27 05:00:58
2018-06-25,S601163,13.13,13.28,13.10,13.07,1586177.00,20903900.00,2018-06-27 05:00:58
2018-06-22,S601163,12.74,13.19,13.13,12.74,2389195.00,31128564.00,2018-06-27 05:00:58
2018-06-21,S601163,13.53,13.60,12.98,12.93,3031588.00,40087895.00,2018-06-27 05:00:58
2018-06-20,S601163,13.33,13.68,13.52,13.25,2275354.00,30621195.00,2018-06-27 05:00:58
2018-06-19,S601163,14.49,14.58,13.38,13.32,4995318.00,69367449.00,2018-06-27 05:00:58
2018-06-15,S601163,15.24,15.29,14.80,14.78,2958637.00,44256379.00,2018-06-27 05:00:58
2018-06-14,S601163,15.29,15.44,15.22,15.20,1607300.00,24618209.00,2018-06-27 05:00:58
2018-06-13,S601163,15.58,15.58,15.30,15.26,1898300.00,29251434.00,2018-06-27 05:00:58
2018-06-12,S601163,15.49,15.66,15.61,15.32,1772800.00,27501950.00,2018-06-27 05:00:58
2018-06-11,S601163,15.57,15.65,15.49,15.45,1667500.00,25883945.00,2018-06-27 05:00:58
2018-06-08,S601163,15.99,15.99,15.61,15.44,4830042.00,75422317.00,2018-06-27 05:00:58
2018-06-07,S601163,16.22,16.27,16.01,15.98,2819111.00,45382114.00,2018-06-27 05:00:58
2018-06-06,S601163,16.19,16.25,16.18,16.10,2050600.00,33159918.00,2018-06-27 05:00:58
2018-06-05,S601163,16.08,16.26,16.25,16.08,1807112.00,29230423.00,2018-06-27 05:00:58
2018-06-04,S601163,16.11,16.24,16.10,16.05,1581589.00,25491435.00,2018-06-27 05:00:58
2018-06-01,S601163,16.16,16.31,16.12,16.00,1717800.00,27739972.00,2018-06-27 05:00:58
