tdate,id,open,high,close,low,volume,amount,utime
2018-05-30,S000671,6.28,6.34,6.19,6.18,27788795.00,173573533.00,2018-05-31 05:00:59
2018-05-29,S000671,6.62,6.63,6.40,6.28,41058934.00,264048076.00,2018-05-31 05:00:59
2018-05-28,S000671,6.69,6.69,6.67,6.55,23232242.00,153529582.00,2018-05-31 05:00:59
2018-05-25,S000671,6.75,6.78,6.66,6.62,26378348.00,176171672.00,2018-05-31 05:00:59
2018-05-24,S000671,6.86,6.93,6.72,6.68,27802010.00,188491132.00,2018-05-31 05:00:59
2018-05-23,S000671,7.03,7.08,6.85,6.82,38555056.00,267017411.00,2018-05-31 05:00:59
2018-05-22,S000671,7.20,7.22,7.08,7.04,27422933.00,194948529.00,2018-05-31 05:00:59
2018-05-21,S000671,7.25,7.27,7.17,7.15,20634416.00,148649798.00,2018-05-31 05:00:59
2018-05-18,S000671,7.18,7.23,7.20,7.14,17132566.00,123097381.00,2018-05-31 05:00:59
2018-05-17,S000671,7.35,7.37,7.19,7.16,19728833.00,143088112.00,2018-05-31 05:00:59
2018-05-16,S000671,7.35,7.40,7.35,7.29,14716511.00,107971769.00,2018-05-31 05:00:59
2018-05-15,S000671,7.33,7.38,7.34,7.28,17332715.00,127115503.00,2018-05-31 05:00:59
2018-05-14,S000671,7.42,7.49,7.33,7.30,19400913.00,143448992.00,2018-05-31 05:00:59
2018-05-11,S000671,7.38,7.55,7.39,7.33,18292238.00,135637177.00,2018-05-31 05:00:59
2018-05-10,S000671,7.48,7.57,7.43,7.29,25213975.00,187064629.00,2018-05-31 05:00:59
2018-05-09,S000671,7.62,7.62,7.52,7.48,18263940.00,137602342.00,2018-05-31 05:00:59
2018-05-08,S000671,7.45,7.65,7.60,7.41,25409943.00,192712401.00,2018-05-31 05:00:59
2018-05-07,S000671,7.36,7.52,7.47,7.29,24006399.00,178147876.00,2018-05-31 05:00:59
2018-05-04,S000671,7.30,7.46,7.39,7.27,28303335.00,208580883.00,2018-05-31 05:00:59
2018-05-03,S000671,7.10,7.24,7.19,7.10,20507430.00,147129788.00,2018-05-31 05:00:59
2018-05-02,S000671,7.18,7.25,7.14,7.09,26471245.00,189529242.00,2018-05-31 05:00:59
