tdate,id,open,high,close,low,volume,amount,utime
2016-06-30,000400,11.03,11.03,10.96,10.86,10534754.00,162358988.00,2018-04-05 10:53:29
2016-06-29,000400,11.07,11.16,10.97,10.93,13945052.00,216910465.00,2018-04-05 10:53:29
2016-06-28,000400,10.88,11.09,11.05,10.75,15204346.00,234079414.00,2018-04-05 10:53:29
2016-06-27,000400,10.63,10.98,10.95,10.62,11524510.00,176105569.00,2018-04-05 10:53:29
2016-06-24,000400,10.88,11.04,10.67,10.41,15695225.00,237113297.00,2018-04-05 10:53:29
2016-06-23,000400,10.91,11.11,10.89,10.79,12742691.00,197913144.00,2018-04-05 10:53:29
2016-06-22,000400,10.69,10.94,10.91,10.59,11110966.00,169952900.00,2018-04-05 10:53:29
2016-06-21,000400,11.25,11.25,10.73,10.62,21652989.00,335067228.00,2018-04-05 10:53:29
2016-06-20,000400,10.99,11.23,11.13,10.87,14996927.00,235053827.00,2018-04-05 10:53:29
2016-06-17,000400,11.08,11.28,11.00,10.86,18653203.00,292010471.00,2018-04-05 10:53:29
2016-06-16,000400,10.66,11.40,11.04,10.60,37275558.00,584981586.00,2018-04-05 10:53:29
2016-06-15,000400,9.98,10.75,10.68,9.92,19328802.00,286766356.00,2018-04-05 10:53:29
2016-06-14,000400,9.99,10.15,10.09,9.98,8216429.00,117308052.00,2018-04-05 10:53:29
2016-06-13,000400,10.51,10.57,9.99,9.95,12976901.00,190939106.00,2018-04-05 10:53:29
2016-06-08,000400,10.86,10.87,10.65,10.56,15203936.00,230121662.00,2018-04-05 10:53:29
2016-06-07,000400,10.66,10.88,10.86,10.51,17406708.00,265427292.00,2018-04-05 10:53:29
2016-06-06,000400,10.77,10.77,10.65,10.55,13811955.00,208764597.00,2018-04-05 10:53:29
2016-06-03,000400,10.37,10.86,10.77,10.37,27099152.00,410672039.00,2018-04-05 10:53:29
2016-06-02,000400,10.26,10.36,10.28,10.15,10387857.00,151207181.00,2018-04-05 10:53:29
2016-06-01,000400,10.22,10.42,10.26,10.18,12999802.00,190327004.00,2018-04-05 10:53:29
2016-05-31,000400,9.77,10.21,10.21,9.77,14424863.00,205890805.00,2018-04-05 10:53:29
2016-05-30,000400,9.77,9.85,9.74,9.63,5695957.00,78698227.00,2018-04-05 10:53:29
2016-05-27,000400,9.83,9.96,9.84,9.77,6942336.00,97101871.00,2018-04-05 10:53:29
2016-05-26,000400,9.84,9.90,9.87,9.55,8694076.00,119917982.00,2018-04-05 10:53:29
2016-05-25,000400,9.99,10.05,9.86,9.82,6033809.00,85059780.00,2018-04-05 10:53:29
2016-05-24,000400,10.06,10.10,9.89,9.84,6682810.00,94008529.00,2018-04-05 10:53:29
2016-05-23,000400,10.01,10.15,10.09,9.99,7735206.00,110522140.00,2018-04-05 10:53:29
2016-05-20,000400,9.73,10.00,9.96,9.66,7178220.00,100799195.00,2018-04-05 10:53:29
2016-05-19,000400,9.88,10.06,9.84,9.78,8909583.00,125711116.00,2018-04-05 10:53:29
