tdate,id,open,high,close,low,volume,amount,utime
2018-03-30,601021,30.65,30.96,30.75,30.56,2802157.00,85544894.00,2018-04-05 10:53:29
2018-03-29,601021,30.34,30.93,30.60,30.27,2850294.00,86702234.00,2018-04-05 10:53:29
2018-03-28,601021,30.45,30.49,30.21,30.13,3675039.00,110545251.00,2018-04-05 10:53:29
2018-03-27,601021,31.10,31.10,30.84,30.25,6138564.00,186669328.00,2018-04-05 10:53:29
2018-03-26,601021,30.56,30.89,30.87,30.12,2942030.00,89097817.00,2018-04-05 10:53:29
2018-03-23,601021,31.87,31.87,30.55,30.06,3113129.00,95834990.00,2018-04-05 10:53:29
2018-03-22,601021,32.28,32.52,32.45,32.11,2930126.00,93726937.00,2018-04-05 10:53:29
2018-03-21,601021,32.89,32.89,32.24,32.15,2614054.00,84193172.00,2018-04-05 10:53:29
2018-03-20,601021,32.91,32.91,32.77,32.28,2054377.00,66376472.00,2018-04-05 10:53:29
2018-03-19,601021,33.76,33.82,33.04,32.89,1993344.00,65551359.00,2018-04-05 10:53:29
2018-03-16,601021,33.78,34.16,33.82,33.77,1484623.00,50050312.00,2018-04-05 10:53:29
2018-03-15,601021,34.31,34.43,34.05,33.90,1335628.00,45226324.00,2018-04-05 10:53:29
2018-03-14,601021,34.07,34.53,34.31,33.67,1201749.00,40749359.00,2018-04-05 10:53:29
2018-03-13,601021,34.57,34.71,34.13,34.00,1374640.00,46862884.00,2018-04-05 10:53:29
2018-03-12,601021,34.27,34.65,34.53,34.16,1610708.00,55079903.00,2018-04-05 10:53:29
2018-03-09,601021,34.15,34.41,34.24,33.91,1136390.00,38506911.00,2018-04-05 10:53:29
2018-03-08,601021,33.97,34.33,34.17,33.75,964934.00,32560448.00,2018-04-05 10:53:29
2018-03-07,601021,34.27,34.57,33.97,33.83,1673752.00,56827261.00,2018-04-05 10:53:29
2018-03-06,601021,34.16,34.60,34.37,33.86,1283046.00,43693446.00,2018-04-05 10:53:29
2018-03-05,601021,34.09,34.76,34.03,33.82,1146429.00,38800547.00,2018-04-05 10:53:29
2018-03-02,601021,33.81,34.76,34.28,33.48,1550266.00,52899659.00,2018-04-05 10:53:29
2018-03-01,601021,33.33,33.97,33.84,33.28,1268332.00,42390740.00,2018-04-05 10:53:29
2018-02-28,601021,33.53,33.75,33.57,33.21,1455785.00,48384434.00,2018-04-05 10:53:29
2018-02-27,601021,34.56,34.56,33.73,33.27,2896245.00,96824186.00,2018-04-05 10:53:29
2018-02-26,601021,34.27,34.70,34.57,33.71,2781566.00,94138949.00,2018-04-05 10:53:29
2018-02-23,601021,35.29,35.68,34.70,34.67,1545150.00,53809009.00,2018-04-05 10:53:29
2018-02-22,601021,35.03,36.77,35.48,34.70,2815381.00,99024418.00,2018-04-05 10:53:29
2018-02-14,601021,33.52,35.00,34.59,32.96,2368165.00,80623061.00,2018-04-05 10:53:29
2018-02-13,601021,33.06,33.97,33.52,32.88,2284774.00,75852269.00,2018-04-05 10:53:29
2018-02-12,601021,32.21,32.92,32.77,31.96,2199480.00,70767305.00,2018-04-05 10:53:29
2018-02-09,601021,32.24,33.26,31.94,31.65,3296642.00,105557028.00,2018-04-05 10:53:29
2018-02-08,601021,34.47,35.27,33.75,33.46,2005480.00,68015827.00,2018-04-05 10:53:29
2018-02-07,601021,35.38,35.66,34.57,33.73,3010803.00,104326478.00,2018-04-05 10:53:29
2018-02-06,601021,35.98,36.28,34.96,34.88,2810878.00,99074235.00,2018-04-05 10:53:29
2018-02-05,601021,35.89,36.79,36.67,35.49,3790458.00,136817905.00,2018-04-05 10:53:29
2018-02-02,601021,35.22,36.20,35.91,34.37,2969151.00,105202408.00,2018-04-05 10:53:29
2018-02-01,601021,35.27,36.24,35.50,34.95,3236387.00,114933771.00,2018-04-05 10:53:29
2018-01-31,601021,35.54,35.95,35.21,34.80,1970208.00,68984988.00,2018-04-05 10:53:29
2018-01-30,601021,35.73,36.38,35.76,35.68,1480624.00,52773497.00,2018-04-05 10:53:29
2018-01-29,601021,36.28,36.28,35.71,35.49,1876302.00,66660630.00,2018-04-05 10:53:29
2018-01-26,601021,36.57,37.47,36.34,36.28,4267238.00,156408649.00,2018-04-05 10:53:29
2018-01-25,601021,35.96,36.74,36.60,35.65,4118503.00,148435785.00,2018-04-05 10:53:29
2018-01-24,601021,36.08,36.08,35.56,35.17,1619680.00,56904365.00,2018-04-05 10:53:29
2018-01-23,601021,35.56,36.24,35.59,35.43,1985720.00,70395400.00,2018-04-05 10:53:29
2018-01-22,601021,34.78,35.68,35.50,34.41,2699258.00,94274110.00,2018-04-05 10:53:29
2018-01-19,601021,34.89,35.01,34.76,34.43,1774601.00,61046261.00,2018-04-05 10:53:29
2018-01-18,601021,34.59,35.15,34.88,34.32,3193295.00,110239314.00,2018-04-05 10:53:29
2018-01-17,601021,34.19,34.62,34.38,33.81,4267103.00,145131180.00,2018-04-05 10:53:29
2018-01-16,601021,36.02,36.12,34.20,33.69,7341794.00,250445067.00,2018-04-05 10:53:29
2018-01-15,601021,36.91,36.91,36.02,35.43,2890882.00,103263720.00,2018-04-05 10:53:29
2018-01-12,601021,36.28,36.92,36.61,36.22,2691612.00,97979047.00,2018-04-05 10:53:29
2018-01-11,601021,36.69,36.69,36.30,35.78,4814990.00,172975740.00,2018-04-05 10:53:29
2018-01-10,601021,37.79,37.79,36.68,36.43,7590532.00,278907901.00,2018-04-05 10:53:29
2018-01-09,601021,38.90,39.20,37.98,37.25,8671168.00,325897672.00,2018-04-05 10:53:29
2018-01-08,601021,40.03,40.31,39.38,38.92,4812076.00,188811481.00,2018-04-05 10:53:29
2018-01-05,601021,39.40,40.29,39.10,38.78,2388336.00,93197760.00,2018-04-05 10:53:29
2018-01-04,601021,39.50,39.88,39.41,38.90,3057862.00,119537776.00,2018-04-05 10:53:29
2018-01-03,601021,38.49,40.10,39.54,38.46,4897649.00,191209079.00,2018-04-05 10:53:29
2018-01-02,601021,37.54,38.52,38.49,37.39,3282504.00,124153096.00,2018-04-05 10:53:29
