tdate,id,open,high,close,low,volume,amount,utime
2014-12-31,000021,8.67,8.67,8.48,8.20,37504864.00,266809792.00,2018-04-05 10:53:29
2014-12-30,000021,9.06,9.20,8.70,8.68,29671748.00,223720864.00,2018-04-05 10:53:29
2014-12-29,000021,9.25,9.26,8.91,8.86,28873250.00,220719424.00,2018-04-05 10:53:29
2014-12-26,000021,9.26,9.34,9.28,9.12,29533776.00,230830656.00,2018-04-05 10:53:29
2014-12-25,000021,8.98,9.32,9.26,8.93,37403608.00,291256896.00,2018-04-05 10:53:29
2014-12-24,000021,8.73,9.04,8.99,8.62,28002440.00,210891040.00,2018-04-05 10:53:29
2014-12-23,000021,8.87,9.04,8.72,8.68,23628414.00,177713744.00,2018-04-05 10:53:29
2014-12-22,000021,8.79,9.07,8.94,8.61,38248824.00,287297760.00,2018-04-05 10:53:29
2014-12-19,000021,8.82,8.86,8.69,8.53,26690332.00,196671952.00,2018-04-05 10:53:29
2014-12-18,000021,8.62,8.98,8.86,8.55,29204620.00,217848000.00,2018-04-05 10:53:29
2014-12-17,000021,8.83,8.83,8.63,8.50,28116664.00,205432864.00,2018-04-05 10:53:29
2014-12-16,000021,9.00,9.01,8.85,8.79,21615464.00,162013904.00,2018-04-05 10:53:29
2014-12-15,000021,8.95,9.04,9.00,8.89,20418544.00,155272992.00,2018-04-05 10:53:29
2014-12-12,000021,8.80,8.99,8.98,8.74,22561732.00,169102864.00,2018-04-05 10:53:29
2014-12-11,000021,8.63,8.86,8.83,8.62,21094332.00,156802960.00,2018-04-05 10:53:29
2014-12-10,000021,8.47,8.76,8.70,8.41,24812442.00,181205296.00,2018-04-05 10:53:29
2014-12-09,000021,8.95,8.95,8.40,8.39,44824604.00,328356576.00,2018-04-05 10:53:29
2014-12-08,000021,8.82,9.02,8.87,8.63,36585928.00,273133728.00,2018-04-05 10:53:29
2014-12-05,000021,9.54,9.67,8.93,8.74,50242652.00,389191456.00,2018-04-05 10:53:29
2014-12-04,000021,9.57,9.76,9.55,9.48,36658844.00,297043104.00,2018-04-05 10:53:29
2014-12-03,000021,9.64,9.65,9.55,9.42,39569296.00,318732128.00,2018-04-05 10:53:29
2014-12-02,000021,9.66,9.79,9.67,9.54,31764972.00,259958448.00,2018-04-05 10:53:29
2014-12-01,000021,9.54,9.80,9.77,9.42,44305020.00,360677024.00,2018-04-05 10:53:29
2014-11-28,000021,9.57,9.64,9.52,9.41,34644364.00,279688224.00,2018-04-05 10:53:29
2014-11-27,000021,9.64,9.68,9.63,9.45,45726732.00,370051552.00,2018-04-05 10:53:29
2014-11-26,000021,9.21,9.78,9.66,9.13,63562896.00,515083232.00,2018-04-05 10:53:29
2014-11-25,000021,8.95,9.45,9.25,8.94,53292520.00,419502848.00,2018-04-05 10:53:29
2014-11-24,000021,8.91,9.08,8.92,8.83,35655028.00,270061376.00,2018-04-05 10:53:29
2014-11-21,000021,8.99,9.05,8.85,8.81,33764200.00,253897104.00,2018-04-05 10:53:29
2014-11-20,000021,9.04,9.04,8.94,8.86,25939436.00,196587712.00,2018-04-05 10:53:29
2014-11-19,000021,8.80,9.37,9.12,8.74,50005036.00,384190272.00,2018-04-05 10:53:29
2014-11-18,000021,9.04,9.09,8.81,8.68,38542528.00,288748320.00,2018-04-05 10:53:29
2014-11-17,000021,8.81,9.42,9.09,8.74,46676752.00,360301664.00,2018-04-05 10:53:29
2014-11-14,000021,8.85,8.93,8.76,8.70,19644898.00,146370816.00,2018-04-05 10:53:29
2014-11-13,000021,8.87,9.08,8.93,8.56,36401736.00,271671776.00,2018-04-05 10:53:29
2014-11-12,000021,8.69,8.91,8.82,8.52,28673876.00,212170208.00,2018-04-05 10:53:29
2014-11-11,000021,9.00,9.17,8.69,8.48,45863756.00,343435872.00,2018-04-05 10:53:29
2014-11-10,000021,8.99,9.08,9.04,8.79,49532652.00,373744800.00,2018-04-05 10:53:29
2014-11-07,000021,9.16,9.29,9.07,8.87,93650112.00,721227712.00,2018-04-05 10:53:29
2014-11-06,000021,8.15,9.00,9.00,8.15,77632336.00,573585472.00,2018-04-05 10:53:29
2014-11-05,000021,8.08,8.29,8.18,8.04,23706928.00,164231888.00,2018-04-05 10:53:29
2014-11-04,000021,8.08,8.11,8.09,7.97,18539216.00,126349048.00,2018-04-05 10:53:29
2014-11-03,000021,7.98,8.14,8.10,7.95,19579120.00,133732488.00,2018-04-05 10:53:29
2014-10-31,000021,8.01,8.03,8.00,7.87,18403224.00,123714912.00,2018-04-05 10:53:29
2014-10-30,000021,7.91,8.15,7.96,7.89,21437496.00,144902032.00,2018-04-05 10:53:29
2014-10-29,000021,7.84,7.96,7.90,7.78,19136900.00,127541800.00,2018-04-05 10:53:29
2014-10-28,000021,7.65,7.84,7.82,7.64,16417094.00,107816776.00,2018-04-05 10:53:29
2014-10-27,000021,7.62,7.75,7.67,7.58,8454533.00,54919832.00,2018-04-05 10:53:29
2014-10-24,000021,7.61,7.78,7.62,7.50,15484129.00,100390512.00,2018-04-05 10:53:29
2014-10-23,000021,7.85,7.97,7.59,7.58,20195036.00,132379904.00,2018-04-05 10:53:29
2014-10-22,000021,8.26,8.29,7.89,7.88,28252110.00,193156208.00,2018-04-05 10:53:29
2014-10-21,000021,8.34,8.44,8.27,8.20,40786640.00,287545696.00,2018-04-05 10:53:29
2014-10-20,000021,8.04,8.35,8.35,7.97,52591712.00,365771424.00,2018-04-05 10:53:29
2014-10-17,000021,8.22,8.29,8.04,7.88,38228632.00,260804528.00,2018-04-05 10:53:29
2014-10-16,000021,8.01,8.31,8.26,7.94,42238940.00,291627328.00,2018-04-05 10:53:29
2014-10-15,000021,8.17,8.35,7.97,7.97,33798124.00,231382352.00,2018-04-05 10:53:29
2014-10-14,000021,8.13,8.22,8.18,8.03,27676544.00,190410944.00,2018-04-05 10:53:29
2014-10-13,000021,7.95,8.26,8.16,7.85,39410228.00,269676640.00,2018-04-05 10:53:29
2014-10-10,000021,7.94,8.09,7.96,7.71,42438696.00,283245856.00,2018-04-05 10:53:29
2014-10-09,000021,7.91,8.10,7.95,7.83,25019488.00,168637040.00,2018-04-05 10:53:29
2014-10-08,000021,7.78,7.94,7.88,7.74,19952468.00,132411448.00,2018-04-05 10:53:29
