tdate,id,open,high,close,low,volume,amount,utime
2017-12-29,603833,135.47,138.23,136.12,135.21,346043.00,40932099.00,2018-04-05 10:53:29
2017-12-28,603833,136.81,138.36,134.99,134.14,699517.00,82215679.00,2018-04-05 10:53:29
2017-12-27,603833,137.41,137.91,136.81,134.74,614665.00,72588145.00,2018-04-05 10:53:29
2017-12-26,603833,140.88,142.14,137.79,136.47,1035835.00,124914397.00,2018-04-05 10:53:29
2017-12-25,603833,139.52,141.22,140.63,138.47,888647.00,107790738.00,2018-04-05 10:53:29
2017-12-22,603833,140.79,141.23,139.52,139.23,223908.00,27137549.00,2018-04-05 10:53:29
2017-12-21,603833,140.41,142.02,140.61,139.19,269976.00,32909170.00,2018-04-05 10:53:29
2017-12-20,603833,141.04,141.31,140.19,139.53,341229.00,41475568.00,2018-04-05 10:53:29
2017-12-19,603833,137.50,141.17,140.56,136.75,695908.00,84104672.00,2018-04-05 10:53:29
2017-12-18,603833,139.28,141.60,136.73,135.49,446085.00,53450886.00,2018-04-05 10:53:29
2017-12-15,603833,138.14,138.81,137.33,136.64,417057.00,49768278.00,2018-04-05 10:53:29
2017-12-14,603833,134.91,139.26,137.86,133.99,781473.00,93091561.00,2018-04-05 10:53:29
2017-12-13,603833,134.33,135.13,134.82,132.93,554837.00,64283773.00,2018-04-05 10:53:29
2017-12-12,603833,133.69,134.90,134.28,132.61,884575.00,102685997.00,2018-04-05 10:53:29
2017-12-11,603833,128.97,134.89,133.12,128.68,791500.00,91188247.00,2018-04-05 10:53:29
2017-12-08,603833,125.56,129.79,129.69,124.53,539364.00,59938440.00,2018-04-05 10:53:29
2017-12-07,603833,128.80,128.80,125.55,124.30,801013.00,87250466.00,2018-04-05 10:53:29
2017-12-06,603833,127.90,129.81,128.31,126.27,461061.00,51014445.00,2018-04-05 10:53:29
2017-12-05,603833,126.50,128.34,127.90,126.07,399394.00,44277239.00,2018-04-05 10:53:29
2017-12-04,603833,130.24,130.74,127.76,125.64,914272.00,100858180.00,2018-04-05 10:53:29
2017-12-01,603833,128.00,130.85,130.24,127.20,727007.00,81632298.00,2018-04-05 10:53:29
2017-11-30,603833,128.36,129.72,127.91,126.84,415846.00,46213427.00,2018-04-05 10:53:29
2017-11-29,603833,130.42,131.01,128.36,126.32,608117.00,67691590.00,2018-04-05 10:53:29
2017-11-28,603833,128.24,131.10,130.69,128.23,642218.00,72349024.00,2018-04-05 10:53:29
2017-11-27,603833,129.44,132.59,127.96,126.85,875415.00,98392037.00,2018-04-05 10:53:29
2017-11-24,603833,130.01,132.02,129.72,129.72,547187.00,62020445.00,2018-04-05 10:53:29
2017-11-23,603833,133.54,135.57,130.25,130.16,714864.00,82577449.00,2018-04-05 10:53:29
2017-11-22,603833,137.79,137.93,133.62,132.67,1513986.00,176476026.00,2018-04-05 10:53:29
2017-11-21,603833,137.22,140.54,137.93,136.19,826957.00,99146868.00,2018-04-05 10:53:29
2017-11-20,603833,133.76,138.11,137.55,132.74,752451.00,88694713.00,2018-04-05 10:53:29
2017-11-17,603833,145.07,145.07,136.13,135.41,1378676.00,166578170.00,2018-04-05 10:53:29
2017-11-16,603833,145.08,146.90,144.35,143.68,659837.00,83074176.00,2018-04-05 10:53:29
2017-11-15,603833,143.67,146.67,145.11,142.17,812739.00,101997528.00,2018-04-05 10:53:29
2017-11-14,603833,147.59,149.02,145.54,143.04,982281.00,123628002.00,2018-04-05 10:53:29
2017-11-13,603833,147.73,150.79,147.62,147.03,792459.00,102523816.00,2018-04-05 10:53:29
2017-11-10,603833,146.39,150.88,147.25,144.71,1067475.00,137054040.00,2018-04-05 10:53:29
2017-11-09,603833,140.67,146.51,145.85,139.08,1342228.00,167508175.00,2018-04-05 10:53:29
2017-11-08,603833,142.87,142.87,140.44,139.39,1048682.00,127702035.00,2018-04-05 10:53:29
2017-11-07,603833,143.43,144.34,142.05,140.67,591174.00,72902074.00,2018-04-05 10:53:29
2017-11-06,603833,138.37,142.73,142.33,137.68,890467.00,107784757.00,2018-04-05 10:53:29
2017-11-03,603833,135.92,139.50,137.05,135.60,677876.00,80827867.00,2018-04-05 10:53:29
2017-11-02,603833,138.71,143.38,136.94,136.65,1438695.00,174623998.00,2018-04-05 10:53:29
2017-11-01,603833,137.22,139.64,138.63,136.27,1124221.00,134162981.00,2018-04-05 10:53:29
2017-10-31,603833,138.11,140.29,135.87,135.30,701355.00,83853527.00,2018-04-05 10:53:29
2017-10-30,603833,139.06,140.48,137.46,134.93,1094675.00,130730171.00,2018-04-05 10:53:29
2017-10-27,603833,137.22,140.37,138.86,136.75,881636.00,106067069.00,2018-04-05 10:53:29
2017-10-26,603833,138.96,140.97,137.92,136.43,1247584.00,149254687.00,2018-04-05 10:53:29
2017-10-25,603833,132.55,140.79,140.36,131.46,1682771.00,201620599.00,2018-04-05 10:53:29
2017-10-24,603833,133.30,133.30,132.10,131.01,393439.00,45039988.00,2018-04-05 10:53:29
2017-10-23,603833,130.26,133.24,132.97,129.14,692836.00,79074490.00,2018-04-05 10:53:29
2017-10-20,603833,129.27,129.92,129.62,127.62,314035.00,35062788.00,2018-04-05 10:53:29
2017-10-19,603833,132.33,132.34,130.35,129.40,373700.00,42298461.00,2018-04-05 10:53:29
2017-10-18,603833,133.58,133.58,132.33,130.33,499650.00,57213482.00,2018-04-05 10:53:29
2017-10-17,603833,129.14,132.37,132.34,129.14,1184927.00,134457893.00,2018-04-05 10:53:29
2017-10-16,603833,127.60,132.93,128.31,127.59,1092887.00,122911848.00,2018-04-05 10:53:29
2017-10-13,603833,127.66,130.25,127.60,126.55,746163.00,82758037.00,2018-04-05 10:53:29
2017-10-12,603833,129.51,133.76,129.52,126.86,823630.00,93071343.00,2018-04-05 10:53:29
2017-10-11,603833,120.93,133.05,129.10,120.06,2274982.00,252937162.00,2018-04-05 10:53:29
2017-10-10,603833,119.92,121.34,120.96,119.41,461258.00,48236201.00,2018-04-05 10:53:29
2017-10-09,603833,118.77,120.49,119.39,118.56,767411.00,79497130.00,2018-04-05 10:53:29
