tdate,id,open,high,close,low,volume,amount,utime
2016-03-31,600000,11.56,11.63,11.53,11.39,23762112.00,425380429.00,2018-04-05 10:53:29
2016-03-30,600000,11.35,11.54,11.49,11.35,35562148.00,634175207.00,2018-04-05 10:53:29
2016-03-29,600000,11.27,11.36,11.22,11.17,19151152.00,335806206.00,2018-04-05 10:53:29
2016-03-28,600000,11.43,11.58,11.22,11.17,24521696.00,433449200.00,2018-04-05 10:53:29
2016-03-25,600000,11.39,11.49,11.41,11.37,13619185.00,241971869.00,2018-04-05 10:53:29
2016-03-24,600000,11.65,11.65,11.39,11.37,27448272.00,488313660.00,2018-04-05 10:53:29
2016-03-23,600000,11.68,11.80,11.66,11.61,27830795.00,506023215.00,2018-04-05 10:53:29
2016-03-22,600000,11.63,11.98,11.67,11.59,43760811.00,800814893.00,2018-04-05 10:53:29
2016-03-21,600000,11.43,11.74,11.61,11.43,42001532.00,756966797.00,2018-04-05 10:53:29
2016-03-18,600000,11.44,11.58,11.47,11.35,55987968.00,996332597.00,2018-04-05 10:53:29
2016-03-17,600000,11.45,11.70,11.38,11.22,68635812.00,1219236346.00,2018-04-05 10:53:29
2016-03-16,600000,10.88,11.62,11.59,10.87,108404378.00,1924212601.00,2018-04-05 10:53:29
2016-03-15,600000,10.90,11.05,10.94,10.81,37540932.00,638223050.00,2018-04-05 10:53:29
2016-03-14,600000,10.85,11.23,10.84,10.82,56922239.00,973317374.00,2018-04-05 10:53:29
2016-03-11,600000,11.26,11.27,10.91,10.68,98240322.00,1657158636.00,2018-04-05 10:53:29
2016-02-15,600000,11.56,11.88,11.86,11.45,67296317.00,1221398339.00,2018-04-05 10:53:29
2016-02-05,600000,11.09,11.83,11.82,11.03,78413454.00,1401156041.00,2018-04-05 10:53:29
2016-02-04,600000,10.83,11.14,11.12,10.69,47162860.00,799283799.00,2018-04-05 10:53:29
2016-02-03,600000,10.67,10.71,10.68,10.58,27779183.00,459255616.00,2018-04-05 10:53:29
2016-02-02,600000,10.61,10.89,10.78,10.58,25380981.00,425396889.00,2018-04-05 10:53:29
2016-02-01,600000,10.93,10.93,10.61,10.55,29139596.00,485275132.00,2018-04-05 10:53:29
2016-01-29,600000,10.62,10.96,10.87,10.55,47429000.00,799493381.00,2018-04-05 10:53:29
2016-01-28,600000,10.78,10.82,10.66,10.21,38902180.00,643984171.00,2018-04-05 10:53:29
2016-01-27,600000,10.77,10.92,10.73,10.62,44291307.00,742640743.00,2018-04-05 10:53:29
2016-01-26,600000,10.91,11.02,10.71,10.55,38279766.00,643611762.00,2018-04-05 10:53:29
2016-01-25,600000,10.93,11.04,10.95,10.75,23558971.00,400445071.00,2018-04-05 10:53:29
2016-01-22,600000,10.83,11.00,10.94,10.60,42007318.00,708179241.00,2018-04-05 10:53:29
2016-01-21,600000,11.07,11.23,10.66,10.61,34197115.00,582845476.00,2018-04-05 10:53:29
2016-01-20,600000,11.32,11.38,11.09,10.98,35968636.00,623546924.00,2018-04-05 10:53:29
2016-01-19,600000,11.43,11.50,11.43,11.25,29807159.00,527753175.00,2018-04-05 10:53:29
2016-01-18,600000,11.21,11.57,11.37,11.14,32729006.00,583291559.00,2018-04-05 10:53:29
2016-01-15,600000,11.45,11.67,11.30,11.27,46723139.00,836146426.00,2018-04-05 10:53:29
2016-01-14,600000,10.93,11.57,11.52,10.86,54838833.00,966117848.00,2018-04-05 10:53:29
2016-01-13,600000,11.30,11.51,11.18,11.16,47869312.00,843717365.00,2018-04-05 10:53:29
2016-01-12,600000,11.04,11.27,11.22,10.98,55374454.00,964061502.00,2018-04-05 10:53:29
2016-01-11,600000,11.07,11.22,10.96,10.91,90177135.00,1550155933.00,2018-04-05 10:53:29
2016-01-08,600000,11.41,11.50,11.25,10.87,71918296.00,1262105060.00,2018-04-05 10:53:29
2016-01-07,600000,11.45,11.51,11.26,11.19,11350479.00,199502702.00,2018-04-05 10:53:29
2016-01-06,600000,11.51,11.67,11.64,11.38,46772653.00,838667398.00,2018-04-05 10:53:29
2016-01-05,600000,11.26,11.61,11.55,11.19,58054793.00,1034181474.00,2018-04-05 10:53:29
2016-01-04,600000,11.76,11.76,11.45,11.29,42240610.00,754425783.00,2018-04-05 10:53:29
