tdate,id,open,high,close,low,volume,amount,utime
2015-03-31,600795,2.98,3.00,2.91,2.91,704324288.00,3109607424.00,2018-04-05 10:53:29
2015-03-30,600795,2.88,2.96,2.96,2.88,765661568.00,3360654848.00,2018-04-05 10:53:29
2015-03-27,600795,2.90,2.92,2.88,2.86,475006816.00,2049962880.00,2018-04-05 10:53:29
2015-03-26,600795,2.88,2.95,2.90,2.83,577978688.00,2506958336.00,2018-04-05 10:53:29
2015-03-25,600795,3.00,3.00,2.89,2.88,767955712.00,3347297280.00,2018-04-05 10:53:29
2015-03-24,600795,3.01,3.09,3.00,2.88,1161946752.00,5193743872.00,2018-04-05 10:53:29
2015-03-23,600795,2.88,3.04,3.01,2.86,1164889600.00,5124686848.00,2018-04-05 10:53:29
2015-03-20,600795,2.87,2.93,2.86,2.81,715501056.00,3061305344.00,2018-04-05 10:53:29
2015-03-19,600795,2.83,2.90,2.87,2.76,949616384.00,4028740608.00,2018-04-05 10:53:29
2015-03-18,600795,2.77,2.84,2.83,2.73,820525248.00,3430454528.00,2018-04-05 10:53:29
2015-03-17,600795,2.63,2.76,2.75,2.62,964731712.00,3898762240.00,2018-04-05 10:53:29
2015-03-16,600795,2.60,2.64,2.62,2.59,429784224.00,1680632576.00,2018-04-05 10:53:29
2015-03-13,600795,2.59,2.62,2.60,2.57,428609024.00,1661605120.00,2018-04-05 10:53:29
2015-03-12,600795,2.54,2.60,2.58,2.52,451804064.00,1730545792.00,2018-04-05 10:53:29
2015-03-11,600795,2.52,2.58,2.53,2.52,248216816.00,943521600.00,2018-04-05 10:53:29
2015-03-10,600795,2.53,2.57,2.54,2.52,279556032.00,1063514816.00,2018-04-05 10:53:29
2015-03-09,600795,2.49,2.55,2.53,2.44,302514336.00,1128425344.00,2018-04-05 10:53:29
2015-03-06,600795,2.47,2.55,2.51,2.45,332906240.00,1242630016.00,2018-04-05 10:53:29
2015-03-05,600795,2.54,2.55,2.47,2.44,348154272.00,1290560512.00,2018-04-05 10:53:29
2015-03-04,600795,2.56,2.58,2.56,2.53,276321088.00,1054303168.00,2018-04-05 10:53:29
2015-03-03,600795,2.61,2.64,2.56,2.56,352344896.00,1364868224.00,2018-04-05 10:53:29
2015-03-02,600795,2.62,2.66,2.64,2.57,458841344.00,1789737600.00,2018-04-05 10:53:29
2015-02-27,600795,2.59,2.62,2.58,2.56,293068288.00,1135195392.00,2018-04-05 10:53:29
2015-02-26,600795,2.51,2.58,2.58,2.50,318699360.00,1214262400.00,2018-04-05 10:53:29
2015-02-25,600795,2.49,2.60,2.53,2.46,371305760.00,1401764992.00,2018-04-05 10:53:29
2015-02-17,600795,2.45,2.48,2.48,2.44,189803552.00,700582016.00,2018-04-05 10:53:29
2015-02-16,600795,2.45,2.46,2.46,2.43,167872640.00,613265536.00,2018-04-05 10:53:29
2015-02-13,600795,2.43,2.48,2.45,2.41,289699936.00,1062296256.00,2018-04-05 10:53:29
2015-02-12,600795,2.37,2.46,2.42,2.34,330253248.00,1185175040.00,2018-04-05 10:53:29
2015-02-11,600795,2.38,2.39,2.37,2.35,183024272.00,649271872.00,2018-04-05 10:53:29
2015-02-10,600795,2.32,2.37,2.37,2.30,232243824.00,817001472.00,2018-04-05 10:53:29
2015-02-09,600795,2.33,2.35,2.33,2.26,337900704.00,1168201600.00,2018-04-05 10:53:29
2015-02-06,600795,2.46,2.46,2.34,2.32,510948288.00,1811920128.00,2018-04-05 10:53:29
2015-02-05,600795,2.62,2.64,2.49,2.48,388582272.00,1480273664.00,2018-04-05 10:53:29
2015-02-04,600795,2.61,2.64,2.58,2.57,256890496.00,1000404800.00,2018-04-05 10:53:29
2015-02-03,600795,2.58,2.62,2.60,2.55,268221280.00,1034641664.00,2018-04-05 10:53:29
2015-02-02,600795,2.62,2.63,2.56,2.55,357714240.00,1382363136.00,2018-04-05 10:53:29
2015-01-30,600795,2.75,2.79,2.68,2.68,507445152.00,2072748800.00,2018-04-05 10:53:29
2015-01-29,600795,2.65,2.79,2.75,2.61,778124992.00,3176717568.00,2018-04-05 10:53:29
2015-01-28,600795,2.69,2.70,2.67,2.66,293206784.00,1174290688.00,2018-04-05 10:53:29
2015-01-27,600795,2.73,2.74,2.71,2.66,395167808.00,1591628288.00,2018-04-05 10:53:29
2015-01-26,600795,2.72,2.75,2.74,2.68,406409216.00,1650456192.00,2018-04-05 10:53:29
2015-01-23,600795,2.73,2.77,2.72,2.70,440701888.00,1800844928.00,2018-04-05 10:53:29
2015-01-22,600795,2.72,2.72,2.72,2.68,382097536.00,1542118656.00,2018-04-05 10:53:29
2015-01-21,600795,2.61,2.73,2.72,2.58,646157376.00,2572777728.00,2018-04-05 10:53:29
2015-01-20,600795,2.58,2.66,2.61,2.55,531728928.00,2071657344.00,2018-04-05 10:53:29
2015-01-19,600795,2.68,2.78,2.58,2.58,661250816.00,2637663232.00,2018-04-05 10:53:29
2015-01-16,600795,2.89,2.94,2.87,2.85,461313536.00,1994790016.00,2018-04-05 10:53:29
2015-01-15,600795,2.78,2.88,2.88,2.77,464410400.00,1961369216.00,2018-04-05 10:53:29
2015-01-14,600795,2.82,2.83,2.78,2.76,285039712.00,1191767552.00,2018-04-05 10:53:29
2015-01-13,600795,2.76,2.82,2.80,2.74,387756576.00,1618319104.00,2018-04-05 10:53:29
2015-01-12,600795,2.88,2.88,2.78,2.75,569765248.00,2389208320.00,2018-04-05 10:53:29
2015-01-09,600795,2.93,3.04,2.92,2.88,682800384.00,3010488576.00,2018-04-05 10:53:29
2015-01-08,600795,3.12,3.15,2.96,2.95,789561024.00,3577038336.00,2018-04-05 10:53:29
2015-01-07,600795,3.15,3.18,3.14,3.08,738193152.00,3454853376.00,2018-04-05 10:53:29
2015-01-06,600795,3.19,3.23,3.16,3.12,915248768.00,4327313920.00,2018-04-05 10:53:29
2015-01-05,600795,3.10,3.28,3.24,3.06,1523966464.00,7252060672.00,2018-04-05 10:53:29
