tdate,id,open,high,close,low,volume,amount,utime
2018-05-22,S300287,9.55,9.57,9.47,9.30,17017994.00,160340988.00,2018-05-23 16:23:58
2018-05-21,S300287,9.45,9.66,9.51,9.44,21178493.00,202563065.00,2018-05-23 16:23:58
2018-05-18,S300287,9.30,9.42,9.38,9.20,16048608.00,149719731.00,2018-05-23 16:23:58
2018-05-17,S300287,9.36,9.44,9.31,9.20,17595839.00,164135682.00,2018-05-23 16:23:58
2018-05-16,S300287,9.65,9.69,9.38,9.36,18252978.00,173925835.00,2018-05-23 16:23:58
2018-05-15,S300287,9.48,9.72,9.71,9.28,22803654.00,217358155.00,2018-05-23 16:23:58
2018-05-14,S300287,9.43,9.62,9.48,9.33,16702833.00,158128931.00,2018-05-23 16:23:58
2018-05-11,S300287,9.78,9.83,9.45,9.43,27830270.00,266726259.00,2018-05-23 16:23:58
2018-05-10,S300287,9.94,10.23,9.80,9.61,40744796.00,403193089.00,2018-05-23 16:23:58
2018-05-09,S300287,9.93,10.04,9.90,9.75,21959604.00,217014422.00,2018-05-23 16:23:58
2018-05-08,S300287,10.14,10.14,9.91,9.76,33133974.00,327882077.00,2018-05-23 16:23:58
2018-05-07,S300287,9.69,10.15,10.03,9.64,49542878.00,494022988.00,2018-05-23 16:23:58
2018-05-04,S300287,9.77,9.87,9.66,9.62,33059905.00,321023707.00,2018-05-23 16:23:58
2018-05-03,S300287,9.20,9.92,9.83,9.05,41089649.00,391120539.00,2018-05-23 16:23:58
2018-05-02,S300287,9.55,9.62,9.19,9.08,24935045.00,232145532.00,2018-05-23 16:23:58
