tdate,id,open,high,close,low,volume,amount,utime
2018-06-29,S300124,30.38,30.88,30.79,29.62,10897510.00,352020585.00,2018-07-05 05:00:59
2018-06-28,S300124,30.87,31.51,30.30,29.92,8180944.00,267863943.00,2018-07-05 05:00:59
2018-06-27,S300124,31.56,31.86,31.06,30.86,7810292.00,260711666.00,2018-07-05 05:00:59
2018-06-26,S300124,30.52,31.90,31.57,30.32,9962801.00,333527956.00,2018-07-05 05:00:59
2018-06-25,S300124,31.87,32.04,31.02,30.87,9797734.00,327717056.00,2018-07-05 05:00:59
2018-06-22,S300124,30.65,31.76,31.62,30.21,10378055.00,344701244.00,2018-07-05 05:00:59
2018-06-21,S300124,31.18,31.52,30.89,30.78,7897268.00,260951767.00,2018-07-05 05:00:59
2018-06-20,S300124,29.86,31.53,31.15,29.86,11016922.00,362855194.00,2018-07-05 05:00:59
2018-06-19,S300124,30.26,30.85,29.86,29.79,14182998.00,456539982.00,2018-07-05 05:00:59
2018-06-15,S300124,31.32,31.71,30.68,30.41,8639250.00,283565934.00,2018-07-05 05:00:59
2018-06-14,S300124,30.96,31.74,31.16,30.91,7148245.00,238677998.00,2018-07-05 05:00:59
2018-06-13,S300124,31.20,31.58,30.96,30.85,6233906.00,207455134.00,2018-07-05 05:00:59
2018-06-12,S300124,30.19,31.05,31.01,30.19,6711735.00,220195847.00,2018-07-05 05:00:59
2018-06-11,S300124,31.00,31.32,30.22,30.11,9024972.00,295848975.00,2018-07-05 05:00:59
2018-06-08,S300124,31.48,31.48,31.00,30.78,6901951.00,228443327.00,2018-07-05 05:00:59
2018-06-07,S300124,30.55,31.52,31.21,30.35,10469265.00,347525872.00,2018-07-05 05:00:59
2018-06-06,S300124,30.41,30.57,30.33,29.89,6210035.00,200587380.00,2018-07-05 05:00:59
2018-06-05,S300124,30.68,30.77,30.66,30.17,5356204.00,174241065.00,2018-07-05 05:00:59
2018-06-04,S300124,30.09,30.67,30.54,29.88,8128770.00,262742726.00,2018-07-05 05:00:59
2018-06-01,S300124,30.41,30.84,29.86,29.77,6847728.00,220659058.00,2018-07-05 05:00:59
