tdate,id,open,high,close,low,volume,amount,utime
2016-03-31,600325,7.51,7.52,7.33,7.28,13589712.00,169736511.00,2018-04-05 10:53:29
2016-03-30,600325,7.31,7.46,7.44,7.24,11356726.00,142102255.00,2018-04-05 10:53:29
2016-03-29,600325,7.27,7.41,7.21,7.14,10761849.00,133131360.00,2018-04-05 10:53:29
2016-03-28,600325,7.55,7.62,7.29,7.20,16921194.00,212844757.00,2018-04-05 10:53:29
2016-03-25,600325,7.45,7.62,7.60,7.39,10094892.00,128979926.00,2018-04-05 10:53:29
2016-03-24,600325,7.63,7.65,7.50,7.47,13962662.00,179116359.00,2018-04-05 10:53:29
2016-03-23,600325,7.70,7.84,7.76,7.65,9416804.00,123540343.00,2018-04-05 10:53:29
2016-03-22,600325,7.90,7.95,7.77,7.70,18681217.00,246575968.00,2018-04-05 10:53:29
2016-03-21,600325,8.06,8.08,7.92,7.80,23302704.00,313610128.00,2018-04-05 10:53:29
2016-03-18,600325,7.74,8.13,8.02,7.74,23486755.00,316628113.00,2018-04-05 10:53:29
2016-03-17,600325,7.62,7.87,7.78,7.62,16922076.00,223327378.00,2018-04-05 10:53:29
2016-03-16,600325,7.48,7.77,7.62,7.32,22975817.00,292740411.00,2018-04-05 10:53:29
2016-03-15,600325,7.42,7.53,7.43,7.31,12133012.00,152264829.00,2018-04-05 10:53:29
2016-03-14,600325,7.11,7.58,7.47,7.10,20611333.00,258360173.00,2018-04-05 10:53:29
2016-03-11,600325,7.08,7.14,6.98,6.89,23426919.00,277771154.00,2018-04-05 10:53:29
2016-03-10,600325,7.51,7.56,7.17,7.15,10401780.00,130010877.00,2018-04-05 10:53:29
2016-03-09,600325,7.49,7.57,7.56,7.31,17459286.00,219406203.00,2018-04-05 10:53:29
2016-03-08,600325,7.96,8.01,7.74,7.49,24675826.00,319202957.00,2018-04-05 10:53:29
2016-03-07,600325,8.01,8.39,8.00,7.77,28615457.00,391401323.00,2018-04-05 10:53:29
2016-03-04,600325,7.84,8.39,8.01,7.83,35936119.00,496353541.00,2018-04-05 10:53:29
2016-03-03,600325,8.17,8.55,7.96,7.81,52502267.00,729977445.00,2018-04-05 10:53:29
2016-03-02,600325,7.16,8.04,8.04,7.14,49657535.00,656693061.00,2018-04-05 10:53:29
