tdate,id,open,high,close,low,volume,amount,utime
2018-04-27,399002,12373.93,12409.48,12339.80,12238.82,8273453464,123250438329,2018-05-03 05:00:01
2018-04-26,399002,12540.49,12556.00,12298.03,12295.94,9153883912,133371067177,2018-05-03 05:00:01
2018-04-25,399002,12551.10,12641.00,12602.67,12533.09,8687929722,121536890660,2018-05-03 05:00:01
2018-04-24,399002,12337.14,12613.52,12613.52,12337.14,9755981231,132491253459,2018-05-03 05:00:01
2018-04-23,399002,12446.15,12511.19,12343.22,12220.71,9486548901,125896223604,2018-05-03 05:00:01
2018-04-20,399002,12631.60,12687.98,12436.75,12417.37,9711942911,132214307624,2018-05-03 05:00:01
2018-04-19,399002,12548.41,12720.87,12663.10,12528.16,10103938826,143358310176,2018-05-03 05:00:01
2018-04-18,399002,12518.55,12563.02,12534.84,12246.56,11097771723,152027063946,2018-05-03 05:00:01
2018-04-17,399002,12708.80,12747.36,12420.00,12413.90,9540379616,135186309580,2018-05-03 05:00:01
2018-04-16,399002,12737.25,12789.47,12690.77,12593.88,9499416082,130949834956,2018-05-03 05:00:01
2018-04-13,399002,12891.40,12934.29,12768.63,12749.08,7245377115,102677861759,2018-05-03 05:00:01
2018-04-12,399002,12900.46,12934.28,12816.35,12809.03,7528267977,105030308090,2018-05-03 05:00:01
2018-04-11,399002,12899.44,12971.05,12913.62,12887.90,8991435960,126699442046,2018-05-03 05:00:01
2018-04-10,399002,12749.85,12862.07,12862.07,12697.94,9227559972,128888346596,2018-05-03 05:00:01
2018-04-09,399002,12729.94,12813.61,12727.91,12629.68,8532640553,121620618335,2018-05-03 05:00:01
2018-04-04,399002,12877.83,12938.72,12765.17,12758.45,8899393605,132178811208,2018-05-03 05:00:01
2018-04-03,399002,12805.16,12883.41,12848.00,12744.12,10023755181,143441760958,2018-05-03 05:00:01
2018-04-02,399002,13006.99,13081.96,12965.75,12945.16,11654340410,176385358937,2018-05-03 05:00:01
