para_id,para_mon,except_dep
000156,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000415,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000540,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000566,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000723,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000766,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000930,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000939,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
002002,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
002005,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
002122,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
002147,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
002252,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
002366,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
002384,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
002437,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
002450,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
002601,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
002699,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
002739,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
300032,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
300146,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
300266,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
600022,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
600086,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
600158,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
600221,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
600309,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
600393,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
600485,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
600682,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
600751,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
600759,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
600880,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
